hustobc_class,source_group,identity_official_code,identity_official_reading_jtz,identity_official_status,top1_official_code,top1_similarity,top1_official_reading_jtz,top1_official_status,top1_has_jitilin_entry,is_verified_correction
L/1,L,,,,U60BA7,0.7385,,undeciphered,true,false
L/10,L,,,,U601C9,0.6712,邑,deciphered,true,false
L/100,L,,,,U60FC5,0.6969,,undeciphered,true,false
L/1000,L,,,,U60797,0.6301,,undeciphered,false,false
L/1001,L,,,,U612C5,0.673,橐,deciphered,true,false
L/1002,L,,,,U61686,0.6814,,undeciphered,false,false
L/1003,L,,,,U61277,0.6456,車,deciphered,true,false
L/1004,L,,,,U60FA0,0.6001,甗,deciphered,true,false
L/1005,L,,,,U60AB7,0.6895,庇,deciphered,true,false
L/1006,L,,,,U600F9,0.6354,髦,deciphered,true,false
L/1007,L,,,,U616A6,0.5833,马,deciphered,false,false
L/1008,L,,,,U60C3C,0.6803,稼,deciphered,true,false
L/1009,L,,,,U60A8D,0.6274,宝,deciphered,true,false
L/101,L,,,,U61504,0.6331,入乙,deciphered,true,false
L/1010,L,,,,U60AFB,0.6353,,undeciphered,true,false
L/1011,L,,,,U61AF7,0.7016,,undeciphered,true,false
L/1012,L,,,,U60262,0.6434,,undeciphered,true,false
L/1013,L,,,,U60FA1,0.655,甗,deciphered,true,false
L/1014,L,,,,U60A8D,0.6327,宝,deciphered,true,false
L/1015,L,,,,U61A11,0.6485,,undeciphered,false,false
L/1016,L,,,,U60535,0.5587,,undeciphered,true,false
L/1017,L,,,,U6178C,0.6348,焚,deciphered,true,false
L/1018,L,,,,U60FDC,0.6911,,undeciphered,false,false
L/1019,L,,,,U6096B,0.7001,风,deciphered,true,false
L/102,L,,,,U6029C,0.5915,,undeciphered,true,false
L/1020,L,,,,U60FDC,0.683,,undeciphered,false,false
L/1021,L,,,,U6096B,0.6997,风,deciphered,true,false
L/1022,L,,,,U60FDC,0.6919,,undeciphered,false,false
L/1023,L,,,,U6096B,0.6919,风,deciphered,true,false
L/1024,L,,,,U616A6,0.6987,马,deciphered,false,false
L/1025,L,,,,U6042B,0.6562,台,deciphered,true,false
L/1026,L,,,,U601B0,0.6089,吹,deciphered,true,false
L/1027,L,,,,U60576,0.7151,迺,deciphered,true,false
L/1028,L,,,,U619AD,0.6711,,undeciphered,false,false
L/1029,L,,,,U60C70,0.6716,鬽,deciphered,true,false
L/103,L,,,,U60405,0.6566,涉,deciphered,true,false
L/1030,L,,,,U6136F,0.6299,,undeciphered,true,false
L/1031,L,,,,U61834,0.6745,残疑字,deciphered,false,false
L/1032,L,,,,U608CE,0.6552,,undeciphered,true,false
L/1033,L,,,,U61761,0.679,一鬯,deciphered,false,false
L/1034,L,,,,U61761,0.6981,一鬯,deciphered,false,false
L/1035,L,,,,U60A8D,0.5969,宝,deciphered,true,false
L/1036,L,,,,U60A8D,0.6167,宝,deciphered,true,false
L/1037,L,,,,U61223,0.5594,子畫,deciphered,false,false
